Volume 1:  	A	 –  	Androphagi
Volume 2.1:  	Andros, Sir Edmund	 –  	Anise
Volume 2.2:  	Anjar	 –  	Apollo
Volume 2.3:  	Apollodorus	 –  	Aral
Volume 2.4:  	Aram, Eugene	 –  	Arcueil
Volume 2.5:  	Arculf	 –  	Armour, Philip
Volume 2.6:  	Armour Plates	 –  	Arundel, Earls of
Volume 2.7:  	Arundel, Thomas	 –  	Athens
Volume 2.8:  	Atherstone	 –  	Austria
Volume 3.1:  	Austria, Lower	 –  	Bacon
Volume 3.2:  	Baconthorpe	 –  	Bankruptcy
Volume 3.3:  	Banks	 –  	Bassoon
Volume 3.4:  	Basso-relievo	 –  	Bedfordshire
Volume 3.5:  	Bedlam	 –  	Benson, George
Volume 3.6:  	Bent, James	 –  	Bibirine
Volume 3.7:  	Bible	 –  	Bisectrix
Volume 4.1:  	Bisharin	 –  	Bohea
Volume 4.2:  	Bohemia	 –  	Borgia, Francis
Volume 4.3:  	Borgia, Lucrezia	 –  	Bradford, John
Volume 4.4:  	Bradford, William	 –  	Brequigny, Louis
Volume 4.5:  	Bréquigny	 –  	Bulgaria
Volume 4.6:  	Bulgaria	 –  	Calgary
Volume 5.1:  	Calhoun	 –  	Camoens
Volume 5.2:  	Camorra	 –  	Cape Colony
Volume 5.3:  	Capefigue	 –  	Carneades
Volume 5.4:  	Carnegie, Andrew	 –  	Casus Belli
Volume 5.5:  	Cat	 –  	Celt
Volume 5.6:  	Celtes, Konrad	 –  	Ceramics
Volume 5.7:  	Cerargyrite	 –  	Charing Cross
Volume 5.8:  	Chariot	 –  	Chatelaine
Volume 6.1:  	Châtelet	 –  	Chicago
Volume 6.2:  	Chicago, University of	 –  	Chiton
Volume 6.3:  	Chitral	 –  	Cincinnati
Volume 6.4:  	Cincinnatus	 –  	Cleruchy
Volume 6.5:  	Clervaux	 –  	Cockade
Volume 6.6:  	Cockaigne	 –  	Columbus, Christopher
Volume 6.7:  	Columbus	 –  	Condottiere
Volume 6.8:  	Conduction, Electric	 –  	
Volume 7.1:  	Prependix	 –  	
Volume 7.2:  	Constantine Pavlovich	 –  	Convention
Volume 7.3:  	Convention	 –  	Copyright
Volume 7.4:  	Coquelin	 –  	Costume
Volume 7.5:  	Cosway	 –  	Coucy
Volume 7.6:  	Coucy-le-Château	 –  	Crocodile
Volume 7.7:  	Crocoite	 –  	Cuba
Volume 7.8:  	Cube	 –  	Daguerre, Louis
Volume 7.9:  	Dagupan	 –  	David
Volume 7.10:  	David, St	 –  	Demidov
Volume 8.2:  	Demijohn	 –  	Destructor
Volume 8.3:  	Destructors	 –  	Diameter
Volume 8.4:  	Diameter	 –  	Dinarchus
Volume 8.5:  	Dinard	 –  	Dodsworth
Volume 8.6:  	Dodwell	 –  	Drama
Volume 8.7:  	Drama	 –  	Dublin
Volume 8.8:  	Dubner	 –  	Dyeing
Volume 8.9:  	Dyer	 –  	Echidna
Volume 8.10:  	Echinoderma	 –  	Edward
Volume 9.1:  	Edwardes	 –  	Ehrenbreitstein
Volume 9.2:  	Ehud	 –  	Electroscope
Volume 9.3:  	Electrostatics	 –  	Engis
Volume 9.4:  	England	 –  	English Finance
Volume 9.5:  	English History	 –  	
Volume 9.6:  	English Language	 –  	Epsom Salts
Volume 9.7:  	Equation	 –  	Ethics
Volume 9.8:  	Ethiopia	 –  	Evangelical Association
Volume 10.1:  	Evangelical Church Conference	 –  	Fairbairn, Sir William
Volume 10.2:  	Fairbanks, Erastus	 –  	Fens
Volume 10.3:  	Fenton, Edward	 –  	Finistère
Volume 10.4:  	Finland	 –  	Fleury, Andre
Volume 10.5:  	Fleury, Claude	 –  	Foraker
Volume 10.6:  	Foraminifera	 –  	Fox, Edward
Volume 10.7:  	Fox, George	 –  	France
Volume 10.8:  	France	 –  	Francis Joseph I.
Volume 11.1:  	Franciscians	 –  	French Language
Volume 11.2:  	French Literature	 –  	Frost, William
Volume 11.3:  	Frost	 –  	Fyzabad
Volume 11.4:  	G	 –  	Gaskell, Elizabeth
Volume 11.5:  	Gassendi, Pierre	 –  	Geocentric
Volume 11.6:  	Geodesy	 –  	Geometry
Volume 11.7:  	Geoponici	 –  	Germany
Volume 11.8:  	Germany	 –  	Gibson, William
Volume 12.1:  	Gichtel, Johann	 –  	Glory
Volume 12.2:  	Gloss	 –  	Gordon, Charles George
Volume 12.3:  	Gordon, Lord George	 –  	Grasses
Volume 12.4:  	Grasshopper	 –  	Greek Language
Volume 12.5:  	Greek Law	 –  	Ground-Squirrel
Volume 12.6:  	Groups, Theory of	 –  	Gwyniad
Volume 12.7:  	Gyantse	 –  	Hallel
Volume 12.8:  	Haller, Albrecht	 –  	Harmonium
Volume 13.1:  	Harmony	 –  	Heanor
Volume 13.2:  	Hearing	 –  	Helmond
Volume 13.3:  	Helmont, Jean	 –  	Hernosand
Volume 13.4:  	Hero	 –  	Hindu Chronology
Volume 13.5:  	Hinduism	 –  	Home, Earls of
Volume 13.6:  	Home, Daniel	 –  	Hortensius, Quintus
Volume 13.7:  	Horticulture	 –  	Hudson Bay
Volume 13.8:  	Hudson River	 –  	Hurstmonceaux
Volume 14.2:  	Hydromechanics	 –  	Ichnography
Volume 14.3:  	Ichthyology	 –  	Independence
Volume 14.4:  	Independence, Declaration of	 –  	Indo-European Languages
Volume 14.5:  	Indole	 –  	Insanity
Volume 14.6:  	Inscriptions	 –  	Ireland, William Henry
Volume 14.7:  	Ireland	 –  	Isabey, Jean Baptiste
Volume 14.8:  	Isabnormal Lines	 –  	Italic
Volume 15.3:  	Japan (part)	 –  	Jeveros
Volume 15.4:  	Jevons, Stanley	 –  	Joint
Volume 15.5:  	Joints	 –  	Justinian I.
Volume 15.6:  	Justinian II.	 –  	Kells
Volume 15.7:  	Kelly, Edward	 –  	Kite
Volume 15.8:  	Kite-flying	 –  	Kyshtym
Volume 16.1:  	L	 –  	Lamellibranchia
Volume 16.2:  	Lamennais, Robert de	 –  	Latini, Brunetto
Volume 16.3:  	Latin Language	 –  	Lefebvre, Pierre François Joseph
Volume 16.4:  	Lefebvre, Tanneguy	 –  	Letronne, Jean Antoine
Volume 16.5:  	Letter	 –  	Lightfoot, John
Volume 16.6:  	Lightfoot, Joseph Barber	 –  	Liquidation
Volume 16.7:  	Liquid Gases	 –  	Logar
Volume 16.8:  	Logarithm	 –  	Lord Advocate
Volume 17.1:  	Lord Chamberlain	 –  	Luqmān
Volume 17.2:  	Luray Cavern	 –  	Mackinac Island
Volume 17.3:  	McKinley, William	 –  	Magnetism, Terrestrial
Volume 17.4:  	Magnetite	 –  	Malt
Volume 17.5:  	Malta	 –  	Map, Walter
Volume 17.6:  	Map	 –  	Mars
Volume 17.7:  	Mars	 –  	Matteawan
Volume 17.8:  	Matter	 –  	Mecklenburg
